location,lat,lon,country,file
Frenchmen Street,29.985984,-90.059179,us,0
Carnegie Library,29.985984,-90.059179,us,0
Third Presbyterian Church,29.97548,-90.07785,us,0
Christopher Inn,29.964181,-90.057344,us,0
Rue d’Enghein,30.004434,-90.050244,us,0
Faubourg Marigny,29.96576,-90.05424,us,0
Lafayette,30.004434,-90.050244,us,0
Almonaster,30.004434,-90.050244,us,0
Louisiana,31.00047,-92.0004,us,0
Elysian Fields,29.997946,-90.051305,us,0
Chartres,29.963829,-90.05171,us,0
Franklin,30.004434,-90.050244,us,0
Marigny Plantation,30.004434,-90.050244,us,0
Press Street,29.967005,-90.047503,us,0
Faubourg D’Aunoy,30.004434,-90.050244,us,0
Franklin,30.004434,-90.050244,us,0
Bourbon,29.972603,-90.03838,us,0
Dauphine,29.972603,-90.03838,us,0
Royal Street,29.964389,-90.049534,us,0
2231 Royal,29.964757,-90.055539,us,0
Rue Casa Calvo,29.964389,-90.049534,us,0
Faubourg Marigny,29.96576,-90.05424,us,0
Royal Street,29.964389,-90.049534,us,0
Royal Street,29.964389,-90.049534,us,0
Bywater,29.972603,-90.03838,us,0
Desire Street,29.972603,-90.03838,us,0
Methodist church,29.963829,-90.05171,us,0
Elysian Fields,29.997946,-90.051305,us,0
Champs-Élysées,29.964898,-90.056721,us,0
Marigny Canal,29.965481,-90.087027,us,0
Washington Square,29.96493,-90.05729,us,0
New Orleans Railways and Light Company Claiborne Power House,29.97195,-90.039736,us,0
Pontchartrain Railroad,29.95,-90.08,us,0
French Quarter,29.95936,-90.06618,us,0
Mississippi River,29.955631,-90.057837,us,0
Holy Redeemer Church,29.96409,-90.05757,us,0
Washington Square,29.96493,-90.05729,us,0
Royal Street,29.964389,-90.049534,us,0
Franklin,29.963829,-90.05171,us,0
Elysian Fields,29.964898,-90.056721,us,0
Appalachians,40.00037,-78.0,us,0
Afrin,36.54891,36.79295,sy,1
Britain,54.75844,-2.69531,gb,1
Afrin,36.54891,36.79295,sy,1
Syrian,35.0,38.0,sy,1
Kurdish,37.0,44.0,iq,1
Afrin,36.54891,36.79295,sy,1
Turkish,39.0,35.0,tr,1
Syrian,35.0,38.0,sy,1
Qamishli,36.85071,41.17243,sy,1
Syria,35.0,38.0,sy,1
BEIRUT,33.89332,35.50157,lb,1
Kurdish,37.0,44.0,iq,1
British,54.75844,-2.69531,gb,2
Britain,54.75844,-2.69531,gb,2
UK,54.75844,-2.69531,gb,2
UK,54.75844,-2.69531,gb,2
Britain,54.75844,-2.69531,gb,2
British Embassy Tokyo,35.686843,139.74432,jp,2
Illinois Capitol Complex,39.79755,-89.6576,us,3
Illinois State Armory,39.800128,-89.653965,us,3
Illinois,40.00032,-89.25037,us,3
Ill.,40.00032,-89.25037,us,3
SPRINGFIELD,39.80172,-89.64371,us,3
Wegmans,38.784234,-77.653357,us,10
Ronald Wilson Reagan Middle,38.845789,-77.662327,us,10
Patriot High,38.726101,-77.579969,us,10
Buckland Elementary,38.798149,-77.63584,us,10
Vienna/Fairfax-GMU Metro,38.87789,-77.27054,us,10
Old Town Manassas,38.750035,-77.472854,us,10
Turtle Point,38.780932,-77.651761,us,10
