location,start,end,lat,long,country,geo_id
Orlando,10,17,28.5383,-81.3792,us,4167147
Daytona Beach,303,316,29.2108,-81.0228,us,4152872
Florida,470,477,28.7505,-82.5001,us,4155751
Volusia County,542,556,29.0836,-81.2081,us,4176559
Osceola,601,608,28.042,-81.1242,us,4167218
Volusia County,849,863,29.0836,-81.2081,us,4176559
Seminole County,1408,1423,28.7086,-81.2081,us,4172445
Florida,1431,1438,28.7505,-82.5001,us,4155751
Melbourne,1739,1748,28.0836,-80.6081,us,4163971
Florida,2150,2157,28.7505,-82.5001,us,4155751
Florida,2344,2351,28.7505,-82.5001,us,4155751
Volusia County,2421,2435,29.0836,-81.2081,us,4176559
Osceola County,2746,2760,28.042,-81.1242,us,4167218
Holopaw,2827,2834,28.1358,-81.0762,us,4158971
