location,lat,lon,country,file
Alexandria,31.3113,-92.4451,us,0
Alexandria,31.3113,-92.4451,us,0
Rapides Parish,31.1669,-92.4835,us,0
Avoyelles,31.0669,-91.9668,us,1
Cottonport,30.9841,-92.0535,us,1
Cottonport,30.9841,-92.0535,us,1
Avoyelles Parish,31.0669,-91.9668,us,1
Alexandria,31.3113,-92.4451,us,2
Alexandria,31.3113,-92.4451,us,2
Alexandria,31.3113,-92.4451,us,2
Alexandria,31.3113,-92.4451,us,2
Pointe Coupee,30.7344,-91.4332,us,3
Pointe Coupee,30.7344,-91.4332,us,3
Pineville,31.3224,-92.4343,us,4
Mansfield,32.0377,-93.7002,us,5
MANSFIELD,32.0377,-93.7002,us,5
Mansfield,32.0377,-93.7002,us,5
Mansfield,32.0377,-93.7002,us,5
Shreveport,32.5252,-93.7502,us,5
Mansfield,32.0377,-93.7002,us,5
Shreveport,32.5252,-93.7502,us,5
Shreveport,32.5252,-93.7502,us,5
Shreveport,32.5252,-93.7502,us,5
Mansfield,32.0377,-93.7002,us,5
Mansfield,32.0377,-93.7002,us,5
Mansfield,32.0377,-93.7002,us,5
Cook,47.8524,-92.6896,us,6
Minneapolis,44.98,-93.2638,us,6
Minnesota,46.2502,-94.2506,us,6
Minnesota,46.2502,-94.2506,us,6
Minnesota,46.2502,-94.2506,us,6
Marshall,44.4469,-95.7884,us,6
Chisholm,47.4891,-92.8838,us,6
Elbow Lake,45.9941,-95.9767,us,6
Mahnomen,47.3152,-95.9687,us,7
Twin Lakes,43.5597,-93.423,us,7
Perham,46.5944,-95.5725,us,7
Otter Tail County,46.4,-95.7003,us,7
Pelican Rapids,46.5708,-96.0831,us,7
Star Lake,46.5308,-95.8064,us,7
Douglas County,45.9333,-95.4503,us,7
Kent,46.4363,-96.6848,us,7
Minnesota,46.2502,-94.2506,us,7
Minnesota,46.2502,-94.2506,us,7
Becker,46.95,-95.6836,us,7
Clay,46.8833,-96.4837,us,7
Douglas,45.9333,-95.4503,us,7
Grant,45.9333,-96.0009,us,7
Mahnomen,47.3333,-95.817,us,7
Otter Tail,46.4,-95.7003,us,7
Swift,45.2666,-95.667,us,7
Wilkin,46.2505,-96.467,us,7
Parkers Prairie,46.153,-95.3289,us,8
Parkers Prairie,46.153,-95.3289,us,8
Parkers Prairie,46.153,-95.3289,us,8
Minnesota,46.2502,-94.2506,us,8
Fargo,46.8772,-96.7898,us,9
Alexandria,45.8852,-95.3775,us,9
Alexandria,45.8852,-95.3775,us,9
Red River,46.6488,-92.2363,us,9
Fargo,46.8772,-96.7898,us,9
Moorhead,46.8739,-96.7676,us,9
Red River,46.6488,-92.2363,us,9
Fargo,46.8772,-96.7898,us,9
Nebraska,41.5003,-99.7507,us,9
Fargo,46.8772,-96.7898,us,9
Fargo,46.8772,-96.7898,us,9
Iraq,33.0,44.0,iq,9
Afghanistan,33.0,65.0,af,9
North Dakota,47.5003,-100.001,us,9
Oakport Township,46.9416,-96.7256,us,9
Moorhead,46.8739,-96.7676,us,9
Red River,46.6488,-92.2363,us,9
Minnesota,46.2502,-94.2506,us,9
Oakport,46.9319,-96.779,us,9
Moorhead,46.8739,-96.7676,us,9
Minnesota,46.2502,-94.2506,us,9
Fargo,46.8772,-96.7898,us,9
Fargo,46.8772,-96.7898,us,9
Red River,46.6488,-92.2363,us,9
Fargo,46.8772,-96.7898,us,9
Fargo,46.8772,-96.7898,us,9
Fargo,46.8772,-96.7898,us,9
Fargo,46.8772,-96.7898,us,9
Alexandria,45.8852,-95.3775,us,10
Minnesota,46.2502,-94.2506,us,10
Minnesota,46.2502,-94.2506,us,10
U.S.,39.76,-98.5,us,10
Minnesotans,46.2502,-94.2506,us,10
Douglas County,45.9333,-95.4503,us,11
Alexandria,45.8852,-95.3775,us,11
Lake Vermont,46.0805,-95.3748,us,11
Brandon,45.9652,-95.5987,us,11
Kensington,45.778,-95.6962,us,11
Freeborn Lake,45.795,-95.6173,us,11
Alexandria,45.8852,-95.3775,us,12
Alexandria,45.8852,-95.3775,us,12
Alexandria,45.8852,-95.3775,us,12
Nelson,45.8894,-95.2642,us,12
Douglas County,45.9333,-95.4503,us,12
St. Cloud,45.5608,-94.1625,us,12
Brandon,45.9652,-95.5987,us,13
Albany,45.63,-94.57,us,13
